email,label
"Subject: Urgent: Your account has been compromised!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Your email password will expire tomorrow!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Verify your account immediately!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Important: Update your payment method!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: IRS: You have a tax refund pending!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: FBI: Cyber attack detected on your system!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: PayPal: Your account has been limited!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: WINNER: You won a lottery prize!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Bank of America: Verify your identity!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Your Netflix subscription has expired!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: IRS: You have a tax refund pending!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your account has been suspended

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Important: Update your payment method!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Your account has been suspended

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Your email password will expire tomorrow!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: IRS: You have a tax refund pending!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Verify your account immediately!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Your account has been suspended

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: IRS: You have a tax refund pending!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Bank of America: Verify your identity!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your Netflix subscription has expired!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Bank of America: Verify your identity!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: IRS: You have a tax refund pending!!!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: IRS: You have a tax refund pending!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Your account has been suspended

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Your Netflix subscription has expired!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Verify your account immediately!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Important: Update your payment method!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Your email password will expire tomorrow!!!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: IRS: You have a tax refund pending!!!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Your Netflix subscription has expired!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Your Netflix subscription has expired!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: WINNER: You won a lottery prize!!!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: WINNER: You won a lottery prize!!!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your email password will expire tomorrow!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Your email password will expire tomorrow!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Verify your account immediately!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: IRS: You have a tax refund pending!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: FBI: Cyber attack detected on your system!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Bank of America: Verify your identity!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Your Netflix subscription has expired!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Your Netflix subscription has expired!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Important: Update your payment method!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Important: Update your payment method!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Your email password will expire tomorrow!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Your Netflix subscription has expired!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: FBI: Cyber attack detected on your system!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Verify your account immediately!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Your account has been suspended

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Your account has been suspended

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: Verify your account immediately!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Bank of America: Verify your identity!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Important: Update your payment method!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Your email password will expire tomorrow!!!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your email password will expire tomorrow!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Your Netflix subscription has expired!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Confirm Your Account Information NOW!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Important: Update your payment method!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: IRS: You have a tax refund pending!!!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your email password will expire tomorrow!!!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Bank of America: Verify your identity!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: IRS: You have a tax refund pending!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: FBI: Cyber attack detected on your system!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: FBI: Cyber attack detected on your system!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Your account has been suspended

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Verify your account immediately!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Urgent: Your account has been compromised!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: Your Netflix subscription has expired!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Urgent: Your account has been compromised!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Bank of America: Verify your identity!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Your account has been suspended

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: FREE iPhone 15 Pro - Claim now!!!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: Important: Update your payment method!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Verify your account immediately!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your account has been suspended

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: WINNER: You won a lottery prize!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Your account has been suspended

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Security Alert: Unauthorized login attempt!!!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Your account has been suspended

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Your email password will expire tomorrow!!!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Your account has been suspended

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Verify your account immediately!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: PayPal: Your account has been limited!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: IRS: You have a tax refund pending!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Important: Update your payment method!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: WINNER: You won a lottery prize!!!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Urgent: Your account has been compromised!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Bank of America: Verify your identity!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Your email password will expire tomorrow!!!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Your account has been suspended

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Your account has been suspended

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: FBI: Cyber attack detected on your system!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
